"Kategorie_zamestnani_CZ_ISCO";"Pocet_zamestnancu_v_tis";"Kc_mes_median";"Kc_mes_1_decil";"Kc_mes_1_kvartil";"Kc_mes_3_kvartil";"Kc_mes_9_decil";"Kc_mes_prumer";"odmeny_%";"priplatky_%";"nahrady_%";"hod_mes";"CZ_ISCO";"Povolani"
"2221 Vseobecne sestry se specializaci";7.5332;29423.7178;21902.5329;25615.058;33276.9651;38198.2107;30164.9129;10.49;12.08;6.45;171.373;"2221";"Vseobecne sestry se specializaci"
"2262 Farmaceuti";5.0585;39832.5296;23055.3793;28913.7308;48711.5353;57752.7492;40500.1909;17.49;1.46;7.01;175.6977;"2262";"Farmaceuti"
"2265 Specialiste v oblasti dietetiky a vyzivy";0.2303;23294.1422;17658.1837;19587.2281;26913.9927;30684.027;24117.9992;10;5.92;6.49;174.7303;"2265";"Specialiste v oblasti dietetiky a vyzivy"
"2310 Ucitele na vysokych a vyssich odbornych skolach";18.394;34220.2177;22665.5348;27415.5657;46196.8573;64052.5877;40384.3949;26.61;4.2;6.64;173.1138;"2310";"Ucitele na vysokych a vyssich odbornych skolach"
"2411 Specialiste v oblasti ucetnictvi";15.8661;36529.5421;20795.1347;27188.0439;54661.7406;80506.1684;46538.7726;16.09;0.93;5.94;171.5971;"2411";"Specialiste v oblasti ucetnictvi"
"2412 Financni a investicni poradci a pribuzni specialiste";5.514;48496.7323;29737.2464;36899.1349;78710.9846;134429.915;70691.3586;30.23;1.21;6.46;172.7581;"2412";"Financni a investicni poradci a pribuzni specialiste"
"2413 Financni analytici a specialiste v peneznictvi a pojistovnictvi";10.054;45816.2345;25711.0952;33321.4576;64979.293;96974.7541;56297.0149;19.13;1.87;6.67;172.6688;"2413";"Financni analytici a specialiste v peneznictvi a pojistovnictvi"
"2422 Specialiste v oblasti strategie a politiky organizaci";10.0921;38015.9095;17192.4501;26217.5754;60002.0495;93295.4235;49894.8592;18.73;2.25;6.29;172.1417;"2422";"Specialiste v oblasti strategie a politiky organizaci"
"2423 Specialiste v oblasti personalniho rizeni";3.2263;41027.5858;26214.6528;32144.9342;56400.8901;81058.5218;50336.7105;16.51;1.69;6.31;170.9018;"2423";"Specialiste v oblasti personalniho rizeni"
"2424 Specialiste v oblasti vzdelavani a rozvoje lidskych zdroju";0.7714;45304.6493;29525.9899;35165.5217;66075.42;88317.5983;54269.7339;17.78;3.82;6.1;170.2317;"2424";"Specialiste v oblasti vzdelavani a rozvoje lidskych zdroju"
"2431 Specialiste v oblasti reklamy a marketingu, pruzkumu trhu";12.7687;37676.454;20486.2911;26968.8664;55388.359;85284.88;48717.6304;17.14;0.92;6.81;171.8041;"2431";"Specialiste v oblasti reklamy a marketingu, pruzkumu trhu"
"2434 Specialiste v oblasti prodeje a nakupu informacnich a komunikacnich technologii";2.7117;55135.5233;30523.1936;36626.9821;87018.9602;146373.345;76641.3686;21.29;4.22;6.65;175.0085;"2434";"Specialiste v oblasti prodeje a nakupu informacnich a komunikacnich technologii"
"2511 Systemovi analytici";6.8817;56412.4232;30249.6523;40703.2384;82815.4133;112600.0991;66171.3822;16.96;3.68;5.83;172.0764;"2511";"Systemovi analytici"
"2512 Vyvojari softwaru";7.9383;50833.2328;30080.6295;38577.0413;74423.4095;102818.2637;60630.401;12.73;1.48;6.01;173.7315;"2512";"Vyvojari softwaru"
"2514 Programatori pocitacovych aplikaci specialiste";15.502;45010.4985;26129.1309;33830.7208;62789.6692;85113.0852;52491.6267;16.19;3.13;6.02;173.5476;"2514";"Programatori pocitacovych aplikaci specialiste"
"2519 Specialiste v oblasti testovani softwaru a pribuzni pracovnici ";2.1022;48985.3531;27672.4186;35210.8996;72466.8313;101310.8494;59656.9736;11.47;3.37;6.29;172.52;"2519";"Specialiste v oblasti testovani softwaru a pribuzni pracovnici "
"2521 Navrhari a spravci databazi";1.4843;43938.7312;18994.2228;30039.4788;65293.6032;96147.8788;51857.8823;16.17;3.59;6.44;173.4545;"2521";"Navrhari a spravci databazi"
"2522 Systemovi administratori, spravci pocitacovych siti ";10.2867;44739.106;26276.0667;33925.7091;63559.8803;82300.2289;51252.305;13.31;4.54;6.01;175.2956;"2522";"Systemovi administratori, spravci pocitacovych siti "
"2523 Specialiste v oblasti pocitacovych siti (krome spravcu)";1.0044;52629.5354;29462.8117;38084.6363;77307.9403;95571.768;59955.1564;15.57;4.35;5.79;171.9685;"2523";"Specialiste v oblasti pocitacovych siti (krome spravcu)"
"2529 Specialiste v oblasti bezpecnosti dat a pribuzni pracovnici";0.3627;59774.6669;36988.3199;45265.8835;79388.5803;110228.8791;67814.7863;14.17;3.05;5.4;171.8968;"2529";"Specialiste v oblasti bezpecnosti dat a pribuzni pracovnici"
"2611 Advokati, statni zastupci a pribuzni pracovnici";2.7139;16377.3268;9939.154;10542.8614;22530.8669;35020.2891;20016.9763;2.29;0;6.69;174.4105;"2611";"Advokati, statni zastupci a pribuzni pracovnici"
