"Kategorie_zamestnani_CZ_ISCO";"Pocet_zamestnancu_v_tis";"Kc_mes_median";"Kc_mes_1_decil";"Kc_mes_1_kvartil";"Kc_mes_3_kvartil";"Kc_mes_9_decil";"Kc_mes_prumer";"odmeny_%";"priplatky_%";"nahrady_%";"hod_mes";"CZ_ISCO";"Povolani";"Dataset"
"41";"2411 Specialiste v oblasti ucetnictvi";15867;36530;20796;27189;54662;80507;46539;16.09;0.93;5.94;171.5971;"2411";"Specialiste V Oblasti Ucetnictvi";"Soukroma sfera"
"42";"2412 Financni a investicni poradci a pribuzni specialiste";5514;48497;29738;36900;78711;134430;70692;30.23;1.21;6.46;172.7581;"2412";"Financni A Investicni Poradci A Pribuzni Specialiste";"Soukroma sfera"
"43";"2413 Financni analytici a specialiste v peneznictvi a pojistovnictvi";10054;45817;25712;33322;64980;96975;56298;19.13;1.87;6.67;172.6688;"2413";"Financni Analytici A Specialiste V Peneznictvi A Pojistovnictvi";"Soukroma sfera"
"44";"2422 Specialiste v oblasti strategie a politiky organizaci";10093;38016;17193;26218;60003;93296;49895;18.73;2.25;6.29;172.1417;"2422";"Specialiste V Oblasti Strategie A Politiky Organizaci";"Soukroma sfera"
"45";"2423 Specialiste v oblasti personalniho rizeni";3227;41028;26215;32145;56401;81059;50337;16.51;1.69;6.31;170.9018;"2423";"Specialiste V Oblasti Personalniho Rizeni";"Soukroma sfera"
"46";"2424 Specialiste v oblasti vzdelavani a rozvoje lidskych zdroju";772;45305;29526;35166;66076;88318;54270;17.78;3.82;6.1;170.2317;"2424";"Specialiste V Oblasti Vzdelavani A Rozvoje Lidskych Zdroju";"Soukroma sfera"
"47";"2431 Specialiste v oblasti reklamy a marketingu, pruzkumu trhu";12769;37677;20487;26969;55389;85285;48718;17.14;0.92;6.81;171.8041;"2431";"Specialiste V Oblasti Reklamy A Marketingu, Pruzkumu Trhu";"Soukroma sfera"
"48";"2434 Specialiste v oblasti prodeje a nakupu informacnich a komunikacnich technologii";2712;55136;30524;36627;87019;146374;76642;21.29;4.22;6.65;175.0085;"2434";"Specialiste V Oblasti Prodeje A Nakupu Informacnich A Komunikacnich Technologii";"Soukroma sfera"
"49";"2511 Systemovi analytici";6882;56413;30250;40704;82816;112601;66172;16.96;3.68;5.83;172.0764;"2511";"Systemovi Analytici";"Soukroma sfera"
"50";"2512 Vyvojari softwaru";7939;50834;30081;38578;74424;102819;60631;12.73;1.48;6.01;173.7315;"2512";"Vyvojari Softwaru";"Soukroma sfera"
"51";"2514 Programatori pocitacovych aplikaci specialiste";15502;45011;26130;33831;62790;85114;52492;16.19;3.13;6.02;173.5476;"2514";"Programatori Pocitacovych Aplikaci Specialiste";"Soukroma sfera"
"52";"2519 Specialiste v oblasti testovani softwaru a pribuzni pracovnici ";2103;48986;27673;35211;72467;101311;59657;11.47;3.37;6.29;172.52;"2519";"Specialiste V Oblasti Testovani Softwaru A Pribuzni Pracovnici";"Soukroma sfera"
"53";"2521 Navrhari a spravci databazi";1485;43939;18995;30040;65294;96148;51858;16.17;3.59;6.44;173.4545;"2521";"Navrhari A Spravci Databazi";"Soukroma sfera"
"54";"2522 Systemovi administratori, spravci pocitacovych siti ";10287;44740;26277;33926;63560;82301;51253;13.31;4.54;6.01;175.2956;"2522";"Systemovi Administratori, Spravci Pocitacovych Siti";"Soukroma sfera"
"55";"2523 Specialiste v oblasti pocitacovych siti (krome spravcu)";1005;52630;29463;38085;77308;95572;59956;15.57;4.35;5.79;171.9685;"2523";"Specialiste V Oblasti Pocitacovych Siti (krome Spravcu)";"Soukroma sfera"
"56";"2529 Specialiste v oblasti bezpecnosti dat a pribuzni pracovnici";363;59775;36989;45266;79389;110229;67815;14.17;3.05;5.4;171.8968;"2529";"Specialiste V Oblasti Bezpecnosti Dat A Pribuzni Pracovnici";"Soukroma sfera"
"57";"2611 Advokati, statni zastupci a pribuzni pracovnici";2714;16378;9940;10543;22531;35021;20017;2.29;0;6.69;174.4105;"2611";"Advokati, Statni Zastupci A Pribuzni Pracovnici";"Soukroma sfera"
"58";"2619 Podnikovi pravnici, ostatni specialiste v oblasti prava ";2706;47535;25856;32917;69903;101455;59268;18.69;1.63;6.85;170.8174;"2619";"Podnikovi Pravnici, Ostatni Specialiste V Oblasti Prava";"Soukroma sfera"
"59";"2631 Specialiste v oblasti ekonomie";4756;41944;22106;30551;58361;80037;49876;18.82;2.45;6.56;168.784;"2631";"Specialiste V Oblasti Ekonomie";"Soukroma sfera"
"60";"2632 Sociologove, antropologove a specialiste v pribuznych oborech";196;30560;19309;23897;40541;54327;34327;6.04;0.53;4.94;174.4663;"2632";"Sociologove, Antropologove A Specialiste V Pribuznych Oborech";"Soukroma sfera"
"61";"2635 Specialiste v oblasti socialni prace";1266;22469;15835;19187;28690;33158;24095;6.27;1.3;6.36;173.2521;"2635";"Specialiste V Oblasti Socialni Prace";"Soukroma sfera"
"62";"2636 Specialiste v cirkevni oblasti a v pribuznych oblastech";1598;20532;14219;17458;25333;30740;21972;12.77;4.27;3.78;173.3366;"2636";"Specialiste V Cirkevni Oblasti A V Pribuznych Oblastech";"Soukroma sfera"
"63";"2642 Redaktori, novinari a pribuzni pracovnici";4823;27996;14626;19996;37379;49716;31602;7.16;3.87;6.43;172.5031;"2642";"Redaktori, Novinari A Pribuzni Pracovnici";"Soukroma sfera"
"64";"2654 Reziseri, dramaturgove, produkcni a pribuzni specialiste";860;32781;10321;13183;44354;61098;35323;7.68;2.96;6.04;179.5127;"2654";"Reziseri, Dramaturgove, Produkcni A Pribuzni Specialiste";"Soukroma sfera"
"65";"2656 Moderatori v rozhlasu, televizi a ostatni moderatori";139;39243;29216;31523;51208;70661;46436;10.59;6.93;6.77;172.1731;"2656";"Moderatori V Rozhlasu, Televizi A Ostatni Moderatori";"Soukroma sfera"
"66";"3111 Technici v chemickych a fyzikalnich vedach (krome chemickeho inzenyrstvi)";2315;28707;20124;23701;36053;45366;31466;15.37;3.43;6.28;170.2277;"3111";"Technici V Chemickych A Fyzikalnich Vedach (krome Chemickeho Inzenyrstvi)";"Soukroma sfera"
"67";"3112 Stavebni technici";25187;25519;13138;18931;33533;43799;27955;15.24;1.47;6.98;172.9831;"3112";"Stavebni Technici";"Soukroma sfera"
"68";"3113 Elektrotechnici a technici energetici";18086;33283;19322;24421;44195;54552;35766;17.15;4.88;6.58;170.4568;"3113";"Elektrotechnici A Technici Energetici";"Soukroma sfera"
"69";"3114 Technici elektronici";7992;33160;19994;26411;43708;55299;36808;17.4;2.22;6.34;172.6676;"3114";"Technici Elektronici";"Soukroma sfera"
"70";"3115 Strojirensti technici";47150;30534;18791;24335;39122;51023;33202;16.62;2.15;5.82;171.8125;"3115";"Strojirensti Technici";"Soukroma sfera"
"71";"3116 Technici v chemickem inzenyrstvi a prib.oborech (gumar.,plastik.,potrav.,vodar.apod.)";9523;28273;18715;21671;36778;47281;31214;17.8;2.65;6.39;169.7902;"3116";"Technici V Chemickem Inzenyrstvi A Prib.oborech (gumar.,plastik.,potrav.,vodar.apod.)";"Soukroma sfera"
"72";"3117 Dulni, hutni, slevarensti technici ";2272;37039;25038;30061;43379;52987;38349;18.7;7.78;7.96;165.9584;"3117";"Dulni, Hutni, Slevarensti Technici";"Soukroma sfera"
"73";"3119 Technici v ostatnich oborech (textilni, kozedelny, polygraficky, drevarsky apod.)";19703;29908;17897;22785;38617;49634;32672;17.52;2.15;6.49;171.0124;"3119";"Technici V Ostatnich Oborech (textilni, Kozedelny, Polygraficky, Drevarsky Apod.)";"Soukroma sfera"
"74";"3121 Mistri a pribuzni pracovnici v oblasti tezby, hutni vyroby a slevarenstvi";2078;37868;27960;33042;43751;49113;39338;20.97;9.49;8.41;168.9552;"3121";"Mistri A Pribuzni Pracovnici V Oblasti Tezby, Hutni Vyroby A Slevarenstvi";"Soukroma sfera"
"75";"3122 Mistri a pribuzni pracovnici ve vyrobe (krome hutni vyroby a slevarenstvi)";44148;31981;19715;25648;41043;51833;34566;16.89;4.07;6.47;172.8503;"3122";"Mistri A Pribuzni Pracovnici Ve Vyrobe (krome Hutni Vyroby A Slevarenstvi)";"Soukroma sfera"
"76";"3123 Mistri a pribuzni pracovnici ve stavebnictvi";7861;24311;14605;18854;34828;44201;27974;15.55;1.49;7.03;174.9863;"3123";"Mistri A Pribuzni Pracovnici Ve Stavebnictvi";"Soukroma sfera"
"77";"3131 Operatori velinu na vyrobu a rozvod elektricke energie a tepla";326;36783;24633;26186;47049;61582;40068;18.32;11.08;7.33;166.588;"3131";"Operatori Velinu Na Vyrobu A Rozvod Elektricke Energie A Tepla";"Soukroma sfera"
"78";"3139 Operatori velinu montaznich linek, vyroby papiru, celulozy a jinych velinu";240;29580;22186;24318;36222;41783;31631;12.8;12.54;7.42;171.4886;"3139";"Operatori Velinu Montaznich Linek, Vyroby Papiru, Celulozy A Jinych Velinu";"Soukroma sfera"
"79";"3141 Technici a laboranti v biologickych a pribuznych oborech (krome zdravotnickych)";2199;24348;15727;19354;29260;41882;27108;16.97;1.62;6.22;172.2591;"3141";"Technici A Laboranti V Biologickych A Pribuznych Oborech (krome Zdravotnickych)";"Soukroma sfera"
"80";"3142 Technici v oblasti zemedelstvi, rybarstvi a vodohospodarstvi";8052;26148;18032;22212;30778;37634;27350;15.86;0.72;7.28;174.5611;"3142";"Technici V Oblasti Zemedelstvi, Rybarstvi A Vodohospodarstvi";"Soukroma sfera"
"81";"3143 Technici v oblasti lesnictvi a myslivosti";766;24955;15194;19967;31836;38794;26488;22.28;0.35;6.89;170.7602;"3143";"Technici V Oblasti Lesnictvi A Myslivosti";"Soukroma sfera"
"82";"3154 ridici letoveho provozu";337;181681;39527;86275;230268;269853;162331;17.22;18.27;15.79;154.0257;"3154";"Ridici Letoveho Provozu";"Soukroma sfera"
